#    2*theta     Intensity  
   6.6740000       0.0000000   
   6.6785000       0.0000000   
   6.6830000       0.0000000   
   6.6875000       0.0000000   
   6.6920000       0.0000000   
   6.6965000       0.0000000   
   6.7010000       0.0000000   
   6.7055000       0.0000000   
   6.7100000       0.0000000   
   6.7145000       0.0000000   
   6.7190000       0.0000000   
   6.7235000       0.0000000   
   6.7280000       0.0000000   
   6.7325000       0.0000000   
   6.7370000       0.0000000   
   6.7415000       0.0000000   
   6.7460000       0.0000000   
   6.7505000       0.0000000   
   6.7550000       0.0000000   
   6.7595000       0.0000000   
   6.7640000       0.0000000   
   6.7685000       0.0000000   
   6.7730000       0.0000000   
   6.7775000       0.0000000   
   6.7820000       0.0000000   
   6.7865000       0.0000000   
   6.7910000       0.0000000   
   6.7955000       0.0000000   
   6.8000000       0.0000000   
   6.8045000       0.0000000   
   6.8090000       0.0000000   
   6.8135000       0.0000000   
   6.8180000       0.0000000   
   6.8225000       0.0000000   
   6.8270000       0.0000000   
   6.8315000       0.0000000   
   6.8360000       0.0000000   
   6.8405000       0.0000000   
   6.8450000       0.0000000   
   6.8495000       0.0000000   
   6.8540000       0.0000000   
   6.8585000       0.0000000   
   6.8630000       0.0000000   
   6.8675000       0.0000000   
   6.8720000       0.0000000   
   6.8765000       0.0000000   
   6.8810000       0.0000000   
   6.8855000       0.0000000   
   6.8900000       0.0000000   
   6.8945000       0.0000000   
   6.8990000       0.0000000   
   6.9035000       0.0000000   
   6.9080000       0.0000000   
   6.9125000       0.0000000   
   6.9170000       0.0000000   
   6.9215000       0.0000000   
   6.9260000       0.0000000   
   6.9305000       0.0000000   
   6.9350000       0.0000000   
   6.9395000       0.0000000   
   6.9440000       0.0000000   
   6.9485000       0.0000000   
   6.9530000       0.0000000   
   6.9575000       0.0000000   
   6.9620000       0.0000000   
   6.9665000       0.0000000   
   6.9710000       0.0000000   
   6.9755000       0.0000000   
   6.9800000       0.0000000   
   6.9845000       0.0000000   
   6.9890000       0.0000000   
   6.9935000       0.0000000   
   6.9980000       0.0000000   
   7.0025000       0.0000000   
   7.0070000       0.0000000   
   7.0115000       0.0000000   
   7.0160000       0.0000000   
   7.0205000       0.0000000   
   7.0250000       0.0000000   
   7.0295000       0.0000000   
   7.0340000       0.0000000   
   7.0385000       0.0000000   
   7.0430000       0.0000000   
   7.0475000       0.0000000   
   7.0520000       0.0000000   
   7.0565000       0.0000000   
   7.0610000       0.0000000   
   7.0655000       0.0000000   
   7.0700000       0.0000000   
   7.0745000       0.0000000   
   7.0790000       0.0000000   
   7.0835000       0.0000000   
   7.0880000       0.0000000   
   7.0925000       0.0000000   
   7.0970000       0.0000000   
   7.1015000       0.0000000   
   7.1060000       0.0000000   
   7.1105000       0.0000000   
   7.1150000       0.0000000   
   7.1195000       0.0000000   
   7.1240000       0.0000000   
   7.1285000       0.0000000   
   7.1330000       0.0000000   
   7.1375000       0.0000000   
   7.1420000       0.0000000   
   7.1465000       0.0000000   
   7.1510000       0.0000000   
   7.1555000       0.0000000   
   7.1600000       0.0000000   
   7.1645000       0.0000000   
   7.1690000       0.0000001   
   7.1735000       0.0000001   
   7.1780000       0.0000002   
   7.1825000       0.0000003   
   7.1870000       0.0000005   
   7.1915000       0.0000009   
   7.1960000       0.0000015   
   7.2005000       0.0000024   
   7.2050000       0.0000039   
   7.2095000       0.0000063   
   7.2140000       0.0000100   
   7.2185000       0.0000159   
   7.2230000       0.0000251   
   7.2275000       0.0000391   
   7.2320000       0.0000606   
   7.2365000       0.0000932   
   7.2410000       0.0001421   
   7.2455000       0.0002149   
   7.2500000       0.0003224   
   7.2545000       0.0004798   
   7.2590000       0.0007082   
   7.2635000       0.0010369   
   7.2680000       0.0015060   
   7.2725000       0.0021696   
   7.2770000       0.0031004   
   7.2815000       0.0043947   
   7.2860000       0.0061792   
   7.2905000       0.0086181   
   7.2950000       0.0119228   
   7.2995000       0.0163615   
   7.3040000       0.0222716   
   7.3085000       0.0300720   
   7.3130000       0.0402769   
   7.3175000       0.0535096   
   7.3220000       0.0705163   
   7.3265000       0.0921784   
   7.3310000       0.1195230   
   7.3355000       0.1537290   
   7.3400000       0.1961292   
   7.3445000       0.2482052   
   7.3490000       0.3115745   
   7.3535000       0.3879673   
   7.3580000       0.4791930   
   7.3625000       0.5870946   
   7.3670000       0.7134900   
   7.3715000       0.8601019   
   7.3760000       1.0284760   
   7.3805000       1.2198899   
   7.3850000       1.4352558   
   7.3895000       1.6750208   
   7.3940000       1.9390692   
   7.3985000       2.2266330   
   7.4030000       2.5362156   
   7.4075000       2.8655364   
   7.4120000       3.2114997   
   7.4165000       3.5701961   
   7.4210000       3.9369370   
   7.4255000       4.3063277   
   7.4300000       4.6723772   
   7.4345000       5.0286445   
   7.4390000       5.3684163   
   7.4435000       5.6849108   
   7.4480000       5.9714986   
   7.4525000       6.2219316   
   7.4570000       6.4305682   
   7.4615000       6.5925840   
   7.4660000       6.7041576   
   7.4705000       6.7626198   
   7.4750000       6.7665601   
   7.4795000       6.7158831   
   7.4840000       6.6118125   
   7.4885000       6.4568417   
   7.4930000       6.2546350   
   7.4975000       6.0098830   
   7.5020000       5.7281222   
   7.5065000       5.4155273   
   7.5110000       5.0786869   
   7.5155000       4.7243747   
   7.5200000       4.3593271   
   7.5245000       3.9900358   
